"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"C/C++ Source","Open Declaration","Alt+G","C/C++ Editor"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"C/C++ Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"File","Rename","F2","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"C/C++ Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"View","Zoom In","Ctrl+=","In Windows"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Navigate","Previous","Ctrl+,","In Windows"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Text Editing","Line Start","Home","Editing Text"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Edit","Find and Replace","Ctrl+F","In Windows"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"C/C++ Source","References","Shift+Ctrl+G","In C/C++ Views"
"C/C++ Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"C/C++ Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Text Editing","Line End","End","Editing Text"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Window","Next View","Ctrl+F7","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Edit","Delete","Delete","In Windows"
"C/C++ Source","Declaration","Ctrl+G","In C/C++ Views"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Project","Rebuild Last Target","F9","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"File","Save","Ctrl+S","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Navigate","Next Page","Alt+F7","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Views","Show View ()","Shift+Alt+Q S","In Windows"
